"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
195,"7",A09,20,32,0,1
196,"7",C91,17,25,0,1
197,"7",N85,0,41,0,1
198,"7",K80,9,31,0,1
199,"7",K81,6,31,0,1
200,"7",C22,32,2,0,1
201,"7",N39,5,23,0,1
202,"7",D25,0,27,0,1
203,"7",K37,12,14,0,1
204,"7",E11,7,16,0,1
205,"7",J18,13,9,0,1
206,"7",K40,16,5,0,1
207,"7",N83,0,21,0,1
208,"7",E14,7,13,0,1
209,"7",N12,1,14,0,1
210,"7",S52,11,4,0,1
211,"7",S72,8,7,0,1
212,"7",E86,7,6,0,1
213,"7",H26,12,1,0,1
214,"7",K46,8,5,0,1
215,"7",N40,13,0,0,1
216,"7",D64,2,10,0,1
217,"7",R99,24,63,0,1
218,"8",Z38,328,308,0,1
219,"8",O82,0,504,0,1
220,"8",K35,58,90,0,1
221,"8",O80,0,142,0,1
222,"8",O06,0,96,0,1
223,"8",K80,21,55,0,1
224,"8",K81,10,52,0,1
225,"8",K40,38,21,0,1
226,"8",N85,0,58,0,1
227,"8",A09,24,32,0,1
228,"8",H26,29,25,0,1
229,"8",D25,0,51,0,1
230,"8",C91,18,22,0,1
231,"8",N40,36,0,0,1
232,"8",N83,0,35,0,1
233,"8",O66,0,34,0,1
234,"8",E14,18,11,0,1
235,"8",J18,14,14,0,1
236,"8",K37,12,16,0,1
237,"8",K46,10,11,0,1
238,"8",S82,12,9,0,1
239,"8",A41,11,8,0,1
240,"8",C49,0,16,0,1
241,"8",Z98,5,11,0,1
242,"8",K42,5,10,0,1
243,"8",C92,0,14,0,1
244,"8",N39,3,10,0,1
245,"8",K85,6,6,0,1
246,"8",K92,4,8,0,1
247,"8",N12,1,11,0,1
248,"8",R99,24,37,0,1
249,"9",O82,0,1343,0,1
250,"9",Z38,613,573,12,1
251,"9",K80,105,228,0,1
252,"9",K35,147,177,1,1
253,"9",H26,168,126,0,1
254,"9",A09,144,147,0,1
255,"9",C91,124,111,0,1
256,"9",D25,0,228,0,1
257,"9",O80,0,214,0,1
258,"9",N39,47,149,0,1
259,"9",K81,54,132,0,1
260,"9",K40,104,65,1,1
261,"9",K37,64,103,0,1
262,"9",J18,88,74,1,1
263,"9",N40,146,0,0,1
264,"9",E14,50,89,0,1
265,"9",O06,0,127,0,1
266,"9",S82,74,47,0,1
267,"9",U07,72,46,0,1
268,"9",Z98,48,68,0,1
269,"9",S52,61,54,0,1
270,"9",A41,39,63,0,1
271,"9",N20,58,40,0,1
272,"9",N83,0,93,0,1
273,"9",E87,31,54,0,1
274,"9",T14,43,36,0,1
275,"9",I10,30,44,0,1
276,"9",A08,39,34,0,1
277,"9",J34,36,36,1,1
278,"9",S42,36,37,0,1
279,"9",R99,165,195,0,1
280,"10",Z38,575,611,5,1
281,"10",O82,0,873,0,1
282,"10",N74,0,213,0,1
283,"10",H26,94,96,0,1
284,"10",N18,175,15,0,1
285,"10",U07,83,91,15,1
286,"10",O06,0,185,0,1
287,"10",K80,38,124,0,1
288,"10",O80,0,146,0,1
289,"10",C91,68,74,0,1
290,"10",N85,0,134,0,1
291,"10",A09,53,74,0,1
292,"10",Z98,44,75,0,1
293,"10",E14,27,82,0,1
294,"10",N88,0,107,0,1
295,"10",E86,56,50,0,1
296,"10",K81,19,74,0,1
297,"10",K35,46,39,0,1
298,"10",K46,39,35,0,1
299,"10",S52,53,21,0,1
300,"10",J18,26,45,1,1
301,"10",K37,38,31,0,1
302,"10",A97,25,33,0,1
303,"10",I10,14,41,0,1
304,"10",E87,27,26,0,1
305,"10",T14,24,21,0,1
306,"10",N39,6,35,0,1
307,"10",S42,26,15,0,1
308,"10",K40,26,11,0,1
309,"10",S82,14,22,0,1
310,"10",R99,154,232,0,1
311,"11",Z38,503,536,8,1
312,"11",O82,0,999,0,1
313,"11",J18,192,185,1,1
314,"11",K37,121,156,0,1
315,"11",E14,113,126,0,1
316,"11",A09,102,108,0,1
317,"11",K81,69,127,1,1
318,"11",H26,81,56,0,1
319,"11",N39,44,86,0,1
320,"11",N85,0,130,0,1
321,"11",O06,0,125,0,1
322,"11",K46,65,54,0,1
323,"11",I10,48,50,0,1
324,"11",E87,46,50,0,1
325,"11",K80,32,63,1,1
326,"11",N83,0,67,0,1
327,"11",K92,28,33,1,1
328,"11",Z98,28,31,0,1
329,"11",S72,32,24,2,1
330,"11",E11,21,33,0,1
331,"11",N18,34,18,0,1
332,"11",J20,20,28,1,1
333,"11",K35,25,19,1,1
334,"11",C91,31,13,0,1
335,"11",N93,0,44,0,1
336,"11",K40,24,18,0,1
337,"11",A41,21,20,0,1
338,"11",S09,23,16,0,1
339,"11",A97,13,25,0,1
340,"11",S82,21,17,0,1
341,"11",R99,135,131,0,1
342,"12",O82,0,975,0,1
343,"12",Z38,369,337,0,1
344,"12",H26,337,310,0,1
345,"12",A09,133,158,0,1
346,"12",K80,44,190,0,1
347,"12",K37,100,131,0,1
348,"12",J18,103,112,0,1
349,"12",K81,44,166,0,1
350,"12",N39,35,172,0,1
351,"12",K35,65,120,0,1
352,"12",C91,64,96,0,1
353,"12",H40,73,76,0,1
354,"12",O80,0,140,0,1
355,"12",K40,90,49,0,1
356,"12",O06,0,135,0,1
357,"12",E14,44,89,0,1
358,"12",H11,76,53,0,1
359,"12",D25,0,119,0,1
360,"12",N85,0,113,0,1
361,"12",O66,0,111,0,1
362,"12",E11,28,62,0,1
363,"12",A04,40,43,0,1
364,"12",K46,43,37,1,1
365,"12",Z98,32,46,0,1
366,"12",I10,21,55,0,1
367,"12",S52,45,29,0,1
368,"12",S82,39,29,0,1
369,"12",K31,21,41,0,1
370,"12",N40,62,0,0,1
371,"12",S09,44,18,0,1
372,"12",R99,89,126,0,1
373,"13",O82,0,797,0,1
374,"13",Z38,325,369,0,1
375,"13",J18,154,131,0,1
376,"13",A09,126,134,0,1
377,"13",K80,52,132,0,1
378,"13",K37,88,94,0,1
379,"13",C91,60,92,0,1
380,"13",O06,0,144,0,1
381,"13",O80,0,133,0,1
382,"13",K81,33,97,0,1
383,"13",N85,0,130,0,1
384,"13",Z98,46,84,0,1
385,"13",I10,41,84,0,1
386,"13",N39,20,95,0,1
387,"13",E14,37,77,0,1
388,"13",O72,0,105,0,1
389,"13",K35,41,62,0,1
390,"13",H26,50,43,0,1
391,"13",E11,27,64,0,1
392,"13",D25,0,81,0,1
393,"13",A01,28,48,0,1
394,"13",N18,64,11,0,1
395,"13",Z01,27,45,0,1
396,"13",S09,51,20,0,1
397,"13",K40,48,20,0,1
398,"13",K46,35,32,0,1
399,"13",K31,16,44,0,1
400,"13",T14,26,31,0,1
401,"13",N12,12,43,0,1
402,"13",S52,40,15,0,1
403,"13",R99,136,266,0,1
404,"14",Z38,228,219,1,1
405,"14",O82,0,417,0,1
406,"14",K81,48,165,0,1
407,"14",K35,66,75,0,1
408,"14",A09,54,85,0,1
409,"14",J18,66,68,0,1
410,"14",K40,77,55,0,1
411,"14",C91,66,52,0,1
