id_atencion_por_departamento,id_departamento,codigo_cie,id_tipo_servicio
349,12,K81,1
350,12,N39,1
351,12,K35,1
352,12,C91,1
353,12,H40,1
354,12,O80,1
355,12,K40,1
356,12,O06,1
357,12,E14,1
358,12,H11,1
359,12,D25,1
360,12,N85,1
361,12,O66,1
362,12,E11,1
363,12,A04,1
364,12,K46,1
365,12,Z98,1
366,12,I10,1
367,12,S52,1
368,12,S82,1
369,12,K31,1
370,12,N40,1
371,12,S09,1
372,12,R99,1
373,13,O82,1
374,13,Z38,1
375,13,J18,1
376,13,A09,1
377,13,K80,1
378,13,K37,1
379,13,C91,1
380,13,O06,1
381,13,O80,1
382,13,K81,1
383,13,N85,1
384,13,Z98,1
385,13,I10,1
386,13,N39,1
387,13,E14,1
388,13,O72,1
389,13,K35,1
390,13,H26,1
391,13,E11,1
392,13,D25,1
393,13,A01,1
394,13,N18,1
395,13,Z01,1
396,13,S09,1
397,13,K40,1
398,13,K46,1
399,13,K31,1
400,13,T14,1
401,13,N12,1
402,13,S52,1
403,13,R99,1
404,14,Z38,1
405,14,O82,1
406,14,K81,1
407,14,K35,1
408,14,A09,1
409,14,J18,1
410,14,K40,1
411,14,C91,1
412,14,O80,1
413,14,N39,1
414,14,E14,1
415,14,K80,1
416,14,K37,1
417,14,O06,1
418,14,D25,1
419,14,F10,1
420,14,K46,1
421,14,Z98,1
422,14,N85,1
423,14,I10,1
424,14,N40,1
425,14,N81,1
426,14,E87,1
427,14,K31,1
428,14,S52,1
429,14,N12,1
430,14,Q36,1
431,14,C41,1
432,14,O20,1
433,14,K29,1
434,14,R99,1
435,15,O82,1
436,15,Z38,1
437,15,A09,1
438,15,N39,1
439,15,K37,1
440,15,K81,1
441,15,S52,1
442,15,I10,1
443,15,T14,1
444,15,A97,1
445,15,J06,1
446,15,N18,1
447,15,K80,1
448,15,E14,1
449,15,K35,1
450,15,O80,1
451,15,O06,1
452,15,N85,1
453,15,K40,1
454,15,D25,1
455,15,J18,1
456,15,K31,1
457,15,S72,1
458,15,S82,1
459,15,U07,1
460,15,S42,1
461,15,J03,1
462,15,A06,1
463,15,N20,1
464,15,C91,1
465,15,R99,1
466,16,Z38,1
467,16,O82,1
468,16,A09,1
469,16,N39,1
470,16,O80,1
471,16,E14,1
472,16,I10,1
473,16,K80,1
474,16,K35,1
475,16,O20,1
476,16,O23,1
477,16,O06,1
478,16,K81,1
479,16,O60,1
480,16,J18,1
481,16,K31,1
482,16,D25,1
483,16,N20,1
484,16,C91,1
485,16,K37,1
486,16,L03,1
487,16,H26,1
488,16,Q36,1
489,16,K74,1
490,16,N12,1
491,16,K40,1
492,16,N93,1
493,16,N18,1
494,16,A01,1
495,16,Z98,1
496,16,R99,1
497,17,Z38,1
498,17,O82,1
499,17,K81,1
500,17,N85,1
501,17,U07,1
502,17,K80,1
503,17,O80,1
504,17,E14,1
505,17,I10,1
506,17,T14,1
507,17,N39,1
508,17,K37,1
509,17,D25,1
510,17,A09,1
511,17,K40,1
512,17,K35,1
513,17,O06,1
514,17,S52,1
515,17,S82,1
516,17,C91,1
517,17,S72,1
518,17,J18,1
519,17,N83,1
520,17,E11,1
521,17,S42,1
522,17,K31,1
523,17,N73,1
524,17,Z98,1
525,17,S09,1
526,17,D64,1
527,17,R99,1
528,18,O82,1
529,18,Z38,1
530,18,K81,1
531,18,E14,1
532,18,I10,1
533,18,Z98,1
534,18,O06,1
535,18,N39,1
536,18,A09,1
537,18,N85,1
538,18,K35,1
539,18,J18,1
540,18,O80,1
541,18,N83,1
542,18,D64,1
543,18,K40,1
544,18,S82,1
545,18,D25,1
546,18,N20,1
547,18,N40,1
548,18,T14,1
549,18,L02,1
550,18,K80,1
551,18,S72,1
552,18,T07,1
553,18,S52,1
554,18,U07,1
555,18,Z41,1
556,18,C91,1
557,18,E11,1
558,18,R99,1
559,19,Z38,1
560,19,O82,1
561,19,K81,1
562,19,J18,1
563,19,A09,1
564,19,K35,1
565,19,Z98,1
566,19,N85,1
567,19,N39,1
568,19,O06,1
569,19,K37,1
