id_clave_rango,id_codigo_cie,id_tipo_servicio,id
1,Z76,2,1
1,A09,2,2
1,J00,2,3
1,C91,2,4
1,J06,2,5
1,N39,2,6
1,Z01,2,7
1,Z00,2,8
1,J20,2,9
1,J18,2,10
1,C69,2,11
1,K59,2,12
1,F83,2,13
1,J03,2,14
1,H10,2,15
1,H35,2,16
1,F80,2,17
1,H52,2,18
1,K02,2,19
1,A04,2,20
1,J30,2,21
1,J02,2,22
1,H50,2,23
1,Q37,2,24
1,L28,2,25
1,B86,2,26
1,F82,2,27
1,H00,2,28
1,E46,2,29
1,H66,2,30
1,R99,2,31
2,C91,2,32
2,Z76,2,33
2,H52,2,34
2,A09,2,35
2,H10,2,36
2,K02,2,37
2,Z01,2,38
2,N39,2,39
2,J30,2,40
2,J00,2,41
2,F80,2,42
2,J06,2,43
2,C81,2,44
2,H50,2,45
2,J20,2,46
2,B07,2,47
2,J03,2,48
2,C64,2,49
2,H66,2,50
2,Z00,2,51
2,Z98,2,52
2,B82,2,53
2,E66,2,54
2,K59,2,55
2,C69,2,56
2,F91,2,57
2,H00,2,58
2,T14,2,59
2,J18,2,60
2,S52,2,61
2,R99,2,62
3,C91,2,63
3,H52,2,64
3,Z76,2,65
3,H10,2,66
3,Z46,2,67
3,Z01,2,68
3,L70,2,69
3,N39,2,70
3,A09,2,71
3,K02,2,72
3,E66,2,73
3,D43,2,74
3,B07,2,75
3,J30,2,76
3,Z98,2,77
3,C79,2,78
3,J00,2,79
3,H50,2,80
3,H66,2,81
3,J06,2,82
3,K31,2,83
3,G51,2,84
3,L30,2,85
3,C81,2,86
3,J03,2,87
3,C41,2,88
3,F41,2,89
3,Z00,2,90
3,H00,2,91
3,N92,2,92
3,R99,2,93
4,L70,2,94
4,H52,2,95
4,C91,2,96
4,Z34,2,97
4,Z01,2,98
4,Z33,2,99
4,N39,2,100
4,Z71,2,101
4,Z46,2,102
4,E28,2,103
4,H10,2,104
4,N18,2,105
4,A09,2,106
4,N92,2,107
4,N76,2,108
4,K31,2,109
4,F41,2,110
4,N91,2,111
4,B07,2,112
4,Z98,2,113
4,H18,2,114
4,K02,2,115
4,Z30,2,116
4,N89,2,117
4,U07,2,118
4,K29,2,119
4,N83,2,120
4,C81,2,121
4,N94,2,122
4,H00,2,123
4,R99,2,124
5,Z01,2,125
5,Z34,2,126
5,N18,2,127
5,Z33,2,128
5,H52,2,129
5,L70,2,130
5,N39,2,131
5,Z30,2,132
5,Z71,2,133
5,E28,2,134
5,N89,2,135
5,N76,2,136
5,N92,2,137
5,A09,2,138
5,N72,2,139
5,K31,2,140
5,U07,2,141
5,H10,2,142
5,N91,2,143
5,Z98,2,144
5,B07,2,145
5,K58,2,146
5,N83,2,147
5,K29,2,148
5,T15,2,149
5,N73,2,150
5,B37,2,151
5,F41,2,152
5,M54,2,153
5,H66,2,154
5,R99,2,155
6,Z01,2,156
6,Z34,2,157
6,N18,2,158
6,Z33,2,159
6,N39,2,160
6,H52,2,161
6,Z30,2,162
6,N89,2,163
6,Z71,2,164
6,E28,2,165
6,L70,2,166
6,N76,2,167
6,N72,2,168
6,N92,2,169
6,A09,2,170
6,U07,2,171
6,K31,2,172
6,H10,2,173
6,Z98,2,174
6,N91,2,175
6,N73,2,176
6,K58,2,177
6,B37,2,178
6,K29,2,179
6,N83,2,180
6,M54,2,181
6,B07,2,182
6,F41,2,183
6,T15,2,184
6,N19,2,185
6,R99,2,186
7,Z01,2,187
7,N18,2,188
7,Z34,2,189
7,Z33,2,190
7,N39,2,191
7,N89,2,192
7,H52,2,193
7,Z71,2,194
7,Z30,2,195
7,N72,2,196
7,N76,2,197
7,N92,2,198
7,A09,2,199
7,E28,2,200
7,L70,2,201
7,U07,2,202
7,K58,2,203
7,K31,2,204
7,B37,2,205
7,Z98,2,206
7,N73,2,207
7,K29,2,208
7,H10,2,209
7,N19,2,210
7,D25,2,211
7,H11,2,212
7,L81,2,213
7,M54,2,214
7,N83,2,215
7,I10,2,216
7,R99,2,217
8,N18,2,218
8,Z01,2,219
8,Z34,2,220
8,N39,2,221
8,N89,2,222
8,H52,2,223
8,Z71,2,224
8,Z33,2,225
8,N72,2,226
8,N76,2,227
8,Z30,2,228
8,D25,2,229
8,N92,2,230
8,A09,2,231
8,L81,2,232
8,K31,2,233
8,U07,2,234
8,K58,2,235
8,B37,2,236
8,N19,2,237
8,I10,2,238
8,H11,2,239
8,E14,2,240
8,N73,2,241
8,Z98,2,242
8,K29,2,243
8,M54,2,244
8,H04,2,245
8,E28,2,246
8,H10,2,247
8,R99,2,248
9,N18,2,249
9,Z01,2,250
9,H52,2,251
9,N39,2,252
9,N89,2,253
9,Z71,2,254
9,N72,2,255
9,D25,2,256
9,E14,2,257
9,I10,2,258
9,N76,2,259
9,H11,2,260
9,N92,2,261
9,Z34,2,262
9,L81,2,263
9,U07,2,264
9,Z98,2,265
9,K58,2,266
9,N19,2,267
9,A09,2,268
9,K31,2,269
9,B37,2,270
9,H40,2,271
9,H04,2,272
9,K29,2,273
9,N73,2,274
9,Z33,2,275
9,M54,2,276
9,Z30,2,277
9,H10,2,278
9,R99,2,279
10,N18,2,280
10,Z01,2,281
10,H52,2,282
10,N39,2,283
10,Z71,2,284
10,E14,2,285
10,I10,2,286
10,N89,2,287
10,N19,2,288
10,D25,2,289
10,N72,2,290
10,N95,2,291
10,H40,2,292
10,H11,2,293
10,U07,2,294
10,Z98,2,295
10,K58,2,296
10,N76,2,297
10,M54,2,298
10,A09,2,299
10,K31,2,300
10,H04,2,301
10,N92,2,302
10,E11,2,303
10,B37,2,304
10,C53,2,305
10,L81,2,306
10,I87,2,307
10,K29,2,308
10,H10,2,309
10,R99,2,310
11,N18,2,311
11,Z01,2,312
11,H52,2,313
11,E14,2,314
11,I10,2,315
11,N39,2,316
11,Z71,2,317
11,N19,2,318
11,H40,2,319
11,N95,2,320
11,Z98,2,321
11,N76,2,322
11,U07,2,323
11,E11,2,324
11,H26,2,325
11,N89,2,326
11,A09,2,327
11,H11,2,328
11,N72,2,329
11,K31,2,330
11,M54,2,331
11,H04,2,332
11,K58,2,333
11,C53,2,334
11,H35,2,335
11,I87,2,336
11,K29,2,337
11,Z96,2,338
11,D25,2,339
11,H10,2,340
11,R99,2,341
