id_clave_rango,id_codigo_cie,hombres,mujeres,ignorado,id_tipo_servicio
8,L81,87,695,0,2
8,K31,299,482,0,2
8,U07,426,347,0,2
8,K58,161,562,0,2
8,B37,18,703,0,2
8,N19,339,370,0,2
8,I10,272,407,3,2
8,H11,269,375,0,2
8,E14,229,388,0,2
8,N73,0,592,0,2
8,Z98,181,411,0,2
8,K29,215,373,0,2
8,M54,209,370,1,2
8,H04,151,371,0,2
8,E28,0,521,0,2
8,H10,185,330,1,2
8,R99,802,3069,4,2
9,N18,6768,4612,54,2
9,Z01,110,10132,2,2
9,H52,832,1677,3,2
9,N39,228,1768,1,2
9,N89,0,1855,0,2
9,Z71,340,1456,0,2
9,N72,0,1601,0,2
9,D25,0,1515,0,2
9,E14,415,749,1,2
9,I10,368,744,0,2
9,N76,0,909,0,2
9,H11,335,508,1,2
9,N92,0,843,0,2
9,Z34,0,832,0,2
9,L81,56,727,0,2
9,U07,415,365,1,2
9,Z98,295,470,0,2
9,K58,171,590,1,2
9,N19,542,214,0,2
9,A09,282,458,1,2
9,K31,247,458,0,2
9,B37,16,642,0,2
9,H40,260,380,0,2
9,H04,158,458,0,2
9,K29,198,368,0,2
9,N73,0,540,0,2
9,Z33,0,529,0,2
9,M54,191,333,0,2
9,Z30,18,501,0,2
9,H10,200,317,0,2
9,R99,751,2903,2,2
10,N18,7321,3984,66,2
10,Z01,119,7995,7,2
10,H52,1049,1908,4,2
10,N39,221,1560,0,2
10,Z71,322,1380,1,2
10,E14,489,989,1,2
10,I10,400,986,2,2
10,N89,0,1271,0,2
10,N19,824,390,0,2
10,D25,0,1147,0,2
10,N72,0,1146,0,2
10,N95,0,1074,0,2
10,H40,299,522,0,2
10,H11,300,486,0,2
10,U07,408,355,2,2
10,Z98,333,429,0,2
10,K58,165,560,0,2
10,N76,0,709,0,2
10,M54,249,434,0,2
10,A09,240,436,2,2
10,K31,207,414,0,2
10,H04,152,466,0,2
10,N92,0,579,0,2
10,E11,174,404,0,2
10,B37,18,550,0,2
10,C53,0,523,0,2
10,L81,34,462,0,2
10,I87,69,395,0,2
10,K29,160,298,0,2
10,H10,156,267,0,2
10,R99,685,2483,5,2
11,N18,5785,3414,38,2
11,Z01,88,5407,1,2
11,H52,813,1704,6,2
11,E14,706,1313,2,2
11,I10,501,1041,1,2
11,N39,175,1168,5,2
11,Z71,253,1061,1,2
11,N19,865,303,0,2
11,H40,437,709,0,2
11,N95,0,1080,0,2
11,Z98,316,511,0,2
11,N76,0,809,0,2
11,U07,379,389,1,2
11,E11,195,516,0,2
11,H26,295,383,7,2
11,N89,0,671,0,2
11,A09,225,412,1,2
11,H11,241,397,0,2
11,N72,0,613,0,2
11,K31,167,414,0,2
11,M54,183,392,2,2
11,H04,128,428,1,2
11,K58,120,420,0,2
11,C53,0,471,0,2
11,H35,169,296,0,2
11,I87,39,423,1,2
11,K29,100,340,1,2
11,Z96,190,239,1,2
11,D25,0,427,0,2
11,H10,112,274,1,2
11,R99,614,1814,1,2
12,N18,8044,4550,57,2
12,Z01,84,4251,0,2
12,H52,745,1602,3,2
12,E14,775,1537,2,2
12,I10,509,1032,1,2
12,N19,1303,184,0,2
12,H40,452,909,0,2
12,N39,220,1055,2,2
12,Z71,255,1005,2,2
12,H26,428,640,2,2
12,N76,0,953,0,2
12,Z98,387,524,0,2
12,E11,251,605,1,2
12,C53,0,850,0,2
12,N95,0,797,0,2
12,Z96,306,444,0,2
12,U07,363,366,1,2
12,H35,243,412,0,2
12,A09,203,358,0,2
12,M54,191,367,0,2
12,H11,215,326,0,2
12,K31,166,372,0,2
12,H04,148,387,2,2
12,C50,20,511,0,2
12,I87,53,446,0,2
12,K58,102,388,0,2
12,N89,0,480,0,2
12,N72,0,447,0,2
12,K29,102,298,0,2
12,N03,245,142,0,2
12,R99,618,1506,2,2
13,N18,8449,3655,45,2
13,Z01,86,3027,1,2
13,E14,782,1450,3,2
13,H52,726,1367,2,2
13,H40,611,1209,1,2
13,I10,549,1187,2,2
13,H26,664,1010,2,2
13,N19,836,369,0,2
13,Z71,260,921,4,2
13,N39,210,933,1,2
13,Z96,374,743,2,2
13,Z98,419,492,0,2
13,N76,0,798,0,2
13,E11,230,552,0,2
13,H35,253,430,0,2
13,U07,282,304,0,2
13,H04,120,428,0,2
13,H11,226,303,0,2
13,A09,175,337,3,2
13,N95,0,507,0,2
13,I87,49,404,0,2
13,M54,193,246,0,2
13,C53,0,415,0,2
13,N40,414,0,0,2
13,N03,282,130,0,2
13,K31,129,280,0,2
13,K58,105,284,2,2
13,N81,0,365,0,2
13,K29,106,247,0,2
13,C50,3,331,0,2
13,R99,519,1302,0,2
14,N18,6691,3534,41,2
14,E14,665,1334,3,2
14,Z01,99,1841,0,2
14,H40,715,1112,2,2
14,H52,605,1133,5,2
14,I10,615,1124,1,2
14,Z96,456,821,0,2
14,H25,359,705,4,2
14,N39,191,815,0,2
14,H26,422,555,0,2
14,Z71,235,720,3,2
14,Z98,389,509,0,2
14,H35,235,388,0,2
14,E11,172,450,0,2
14,N19,567,37,0,2
14,U07,276,286,0,2
14,N76,0,507,0,2
14,N40,467,0,0,2
14,H04,141,315,0,2
14,M54,187,250,0,2
14,I87,73,337,0,2
14,A09,161,244,0,2
14,H11,176,221,1,2
14,K31,115,272,0,2
14,C53,0,357,0,2
14,N81,0,331,0,2
14,K58,81,232,1,2
14,N95,0,306,0,2
14,H10,109,165,0,2
14,K29,101,173,0,2
14,R99,514,1032,0,2
15,N18,5256,2720,40,2
15,H40,721,1070,1,2
15,I10,573,1119,0,2
15,Z96,564,961,0,2
15,H52,511,839,5,2
15,E14,443,879,4,2
15,H25,382,795,4,2
15,Z01,72,1076,3,2
15,H26,492,588,0,2
15,Z98,370,423,0,2
15,N19,527,223,0,2
15,N39,169,563,1,2
15,Z71,186,517,2,2
15,H35,159,381,1,2
15,N40,451,0,0,2
15,U07,214,214,0,2
15,H04,116,275,0,2
15,E11,128,254,0,2
15,I87,72,296,0,2
15,M54,120,231,1,2
15,A09,120,205,1,2
15,K31,115,195,0,2
15,N76,0,283,0,2
15,H11,126,150,0,2
15,H10,93,173,0,2
15,J18,122,124,0,2
15,K29,92,139,0,2
15,N81,0,229,0,2
15,C44,74,141,0,2
15,C53,0,212,0,2
15,R99,408,720,3,2
16,N18,2522,1293,14,2
16,H40,517,776,1,2
16,Z96,517,689,3,2
16,I10,400,634,2,2
16,H26,449,456,0,2
16,H25,299,523,4,2
16,H52,298,476,1,2
16,E14,280,405,2,2
16,Z01,45,513,3,2
16,Z98,292,262,0,2
16,N39,106,351,0,2
16,Z71,140,314,0,2
16,N40,350,0,0,2
16,H35,116,224,0,2
16,U07,174,158,0,2
16,A09,103,160,0,2
16,E11,102,150,0,2
16,I87,38,209,0,2
16,M54,90,150,0,2
16,H04,90,144,1,2
16,C44,89,128,0,2
16,J18,115,99,2,2
16,K31,84,117,0,2
16,K29,67,78,0,2
16,H10,62,80,0,2
16,H11,82,60,0,2
16,H01,43,89,0,2
16,K58,42,90,0,2
16,N76,0,129,0,2
16,N81,0,121,0,2
16,R99,333,480,1,2
17,N18,2025,1125,18,2
17,Z96,582,788,3,2
17,H40,588,776,0,2
17,I10,494,772,2,2
17,H26,437,488,0,2
17,H25,286,579,8,2
17,H52,297,410,2,2
17,E14,229,422,1,2
17,N39,153,381,0,2
17,Z71,181,330,0,2
17,Z98,246,241,0,2
17,U07,186,271,0,2
17,C44,129,264,0,2
17,Z01,85,299,0,2
17,H35,139,232,1,2
17,A09,112,194,1,2
17,J18,138,166,0,2
17,N40,299,0,0,2
17,M54,107,164,0,2
17,K31,95,169,0,2
17,H04,63,156,0,2
17,I87,53,162,0,2
17,N19,71,138,0,2
17,K29,61,120,0,2
17,H01,71,109,0,2
17,E11,55,114,0,2
17,H02,69,94,0,2
17,H10,57,94,1,2
17,H44,88,64,0,2
17,S72,50,81,0,2
17,R99,521,632,1,2
18,N18,6,2,2810,2
18,Z01,41,140,1,2
18,Z33,0,169,0,2
18,Z71,57,75,1,2
18,Z34,0,119,0,2
18,K29,42,30,3,2
18,N39,19,47,1,2
18,Z76,23,33,0,2
18,A09,24,27,0,2
18,K58,18,20,0,2
18,E14,14,21,0,2
18,K21,11,16,0,2
18,H52,11,12,3,2
18,I10,15,11,0,2
18,K64,12,13,0,2
18,H04,14,8,1,2
18,H10,12,6,0,2
18,J18,6,4,6,2
18,E28,0,13,0,2
18,J06,7,5,1,2
18,K59,5,8,0,2
18,M54,5,8,0,2
18,N40,13,0,0,2
18,N41,12,0,0,2
18,L30,5,6,0,2
18,Z00,7,4,0,2
18,Z98,3,6,1,2
18,U07,7,2,0,2
18,E11,2,3,3,2
18,H50,2,6,0,2
18,R99,36,51,9,2
1,Z38,9216,9615,73,1
1,A09,838,751,5,1
1,J18,510,429,3,1
1,Q36,260,147,0,1
1,N39,96,224,2,1
1,C91,135,186,0,1
1,P36,141,157,0,1
1,K02,171,110,0,1
1,Q35,132,94,0,1
1,K40,141,76,0,1
1,J20,111,97,1,1
1,A08,116,91,0,1
1,E86,98,106,0,1
1,A04,93,80,1,1
1,A41,82,79,0,1
1,C22,119,42,0,1
1,P59,69,88,0,1
1,J21,85,61,0,1
1,P23,80,55,0,1
1,T14,56,52,0,1
1,Q65,14,91,0,1
1,A97,59,44,0,1
1,Z98,61,34,2,1
1,Q53,96,0,0,1
1,P07,42,52,0,1
1,C49,19,74,0,1
1,P96,42,48,3,1
1,E87,54,36,0,1
1,C92,48,38,0,1
1,J06,43,41,0,1
1,R99,575,612,0,1
2,C91,195,253,0,1
2,A09,156,179,0,1
2,K35,176,152,1,1
2,S52,192,82,1,1
2,K37,147,112,2,1
2,T14,111,51,1,1
2,J18,84,68,0,1
2,K02,90,61,0,1
2,K40,54,66,0,1
2,N39,24,84,0,1
2,A97,42,49,0,1
2,C64,26,59,0,1
2,Z98,45,36,0,1
2,Q53,66,0,0,1
2,J35,35,30,0,1
2,S42,36,28,1,1
2,N47,63,0,0,1
2,Z47,38,23,0,1
2,S09,36,24,0,1
2,C81,35,14,0,1
2,Z01,26,23,0,1
2,C92,26,20,0,1
2,A04,22,23,0,1
2,S82,23,20,0,1
2,K46,22,20,0,1
2,S01,21,21,0,1
2,U07,20,22,0,1
2,S72,27,13,1,1
2,J03,21,18,0,1
2,T07,24,15,0,1
2,R99,348,320,0,1
3,K35,195,239,0,1
3,C91,209,205,0,1
3,K37,144,172,0,1
3,S52,173,41,0,1
3,C41,77,73,0,1
3,A09,74,70,1,1
3,T14,61,50,0,1
3,Z98,36,36,0,1
3,O82,0,66,0,1
3,D43,18,44,0,1
3,K40,27,28,0,1
3,U07,29,26,0,1
3,A97,26,27,0,1
3,S09,38,15,0,1
3,C92,19,33,0,1
3,M79,27,25,0,1
3,S82,38,13,0,1
3,Z47,32,19,0,1
3,S42,33,17,0,1
3,J18,32,16,0,1
3,J34,25,20,0,1
3,N39,16,29,0,1
3,T07,30,14,0,1
3,N47,43,0,0,1
3,C79,28,14,0,1
3,N18,1,39,0,1
3,N44,39,0,0,1
3,J35,18,19,0,1
3,N83,0,35,0,1
3,S62,24,9,0,1
3,R99,251,288,0,1
4,O82,0,1761,0,1
4,K35,205,307,1,1
4,K37,161,263,1,1
4,C91,205,215,0,1
4,O80,0,227,0,1
4,A09,77,110,0,1
4,N18,123,64,0,1
4,O06,0,181,0,1
4,K81,32,120,1,1
4,J34,72,80,0,1
4,Z41,32,78,0,1
4,Z98,51,57,0,1
4,T07,57,41,1,1
4,S82,77,20,0,1
4,N39,12,84,0,1
4,N83,0,93,0,1
4,S09,58,30,0,1
4,K40,56,28,0,1
4,K80,15,69,0,1
4,T14,54,29,0,1
4,U07,43,40,0,1
4,M79,31,45,0,1
4,C41,43,31,0,1
4,N63,9,64,0,1
4,S42,50,15,0,1
4,Z01,22,43,0,1
4,S52,50,11,0,1
4,O26,0,44,0,1
4,C49,14,29,0,1
4,S62,34,8,0,1
4,R99,261,464,0,1
5,O82,0,4790,0,1
5,N18,872,130,0,1
5,U07,345,394,1,1
5,O80,0,635,0,1
5,O06,0,540,0,1
5,K35,175,282,1,1
5,K81,65,387,1,1
5,K37,145,216,0,1
5,A09,139,185,0,1
5,Z41,44,209,0,1
5,M79,129,118,1,1
5,K80,50,170,3,1
5,Z98,77,137,0,1
5,T07,137,70,0,1
5,N39,32,172,0,1
5,J34,82,84,1,1
5,N83,0,157,0,1
5,S82,110,46,1,1
5,T14,73,61,0,1
5,K40,76,39,1,1
5,S09,78,38,0,1
5,J00,42,71,0,1
