id_atencion_por_tipo_consulta,lim_inf_rango,lim_sup_rango,id_sexo,id_tipo_consulta,total
256,70,74,1,4,16
257,70,74,1,5,4
258,70,74,1,6,116
259,70,74,2,1,10282
260,70,74,2,2,11511
261,70,74,2,3,948
262,70,74,2,4,11
263,70,74,2,5,5
264,70,74,2,6,233
265,70,74,3,1,10
266,70,74,3,2,60
267,70,74,3,3,2
268,70,74,3,4,0
269,70,74,3,5,0
270,70,74,3,6,0
271,75,79,1,1,4258
272,75,79,1,2,6075
273,75,79,1,3,528
274,75,79,1,4,7
275,75,79,1,5,0
276,75,79,1,6,71
277,75,79,2,1,6527
278,75,79,2,2,6340
279,75,79,2,3,679
280,75,79,2,4,9
281,75,79,2,5,0
282,75,79,2,6,130
283,75,79,3,1,10
284,75,79,3,2,26
285,75,79,3,3,3
286,75,79,3,4,0
287,75,79,3,5,0
288,75,79,3,6,0
289,80,120,1,1,4564
290,80,120,1,2,5848
291,80,120,1,3,848
292,80,120,1,4,18
293,80,120,1,5,4
294,80,120,1,6,111
295,80,120,2,1,6845
296,80,120,2,2,6572
297,80,120,2,3,1050
298,80,120,2,4,14
299,80,120,2,5,5
300,80,120,2,6,176
301,80,120,3,1,11
302,80,120,3,2,32
303,80,120,3,3,3
304,80,120,3,4,0
305,80,120,3,5,0
306,80,120,3,6,0
307,,,1,1,418
308,,,1,2,154
309,,,1,3,31
310,,,1,4,1
311,,,1,5,0
312,,,1,6,4
313,,,2,1,783
314,,,2,2,311
315,,,2,3,16
316,,,2,4,1
317,,,2,5,0
318,,,2,6,30
319,,,3,1,13
320,,,3,2,2812
321,,,3,3,30
322,,,3,4,0
323,,,3,5,0
324,,,3,6,2
