anio_nacimiento,area_salud,departamento,municipio,codigo_municipio,num_dosis,sexo,n_vacunados,poblacion
2010,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,2a.,Femenino,1623,2651
2011,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,1a.,Femenino,2260,2628
2011,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,2a.,Femenino,1339,2628
2012,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,1a.,Femenino,2060,2775
2012,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,2a.,Femenino,685,2775
2013,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,1a.,Femenino,1763,2725
2013,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,2a.,Femenino,60,2725
2014,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,1a.,Femenino,1347,2651
2015,ALTA VERAPAZ,ALTA VERAPAZ,COBAN,1601,1a.,Femenino,288,2709
2006,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,299,822
2006,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,218,822
2007,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,809,925
2007,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,716,925
2008,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,925,1099
2008,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,756,1099
2009,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,824,931
2009,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,668,931
2010,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,701,1015
2010,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,530,1015
2011,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,730,952
2011,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,439,952
2012,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,587,983
2012,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,186,983
2013,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,549,1089
2013,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,2a.,Femenino,86,1089
2014,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,468,984
2015,ALTA VERAPAZ,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,1615,1a.,Femenino,118,1067
2006,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,131,291
2006,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,107,291
2007,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,263,293
2007,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,253,293
2008,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,339,353
