anio_nacimiento,area_salud,departamento,municipio,num_dosis,sexo,n_vacunados,poblacion
2011,0,16,1607.0,1,2,190,1051
2012,0,16,1607.0,0,2,642,1132
2012,0,16,1607.0,1,2,73,1132
2013,0,16,1607.0,0,2,664,1096
2013,0,16,1607.0,1,2,44,1096
2014,0,16,1607.0,0,2,485,1018
2015,0,16,1607.0,0,2,61,1072
2006,0,16,1617.0,0,2,170,495
2006,0,16,1617.0,1,2,103,495
2007,0,16,1617.0,0,2,393,528
2007,0,16,1617.0,1,2,332,528
2008,0,16,1617.0,0,2,556,576
2008,0,16,1617.0,1,2,414,576
2009,0,16,1617.0,0,2,500,527
2009,0,16,1617.0,1,2,351,527
2010,0,16,1617.0,0,2,328,472
2010,0,16,1617.0,1,2,183,472
2011,0,16,1617.0,0,2,300,513
2011,0,16,1617.0,1,2,125,513
2012,0,16,1617.0,0,2,280,511
2012,0,16,1617.0,1,2,21,511
2013,0,16,1617.0,0,2,239,521
2013,0,16,1617.0,1,2,3,521
2014,0,16,1617.0,0,2,227,573
2015,0,16,1617.0,0,2,46,561
2006,0,16,1603.0,0,2,529,943
2006,0,16,1603.0,1,2,363,943
2007,0,16,1603.0,0,2,937,976
2007,0,16,1603.0,1,2,739,976
2008,0,16,1603.0,0,2,949,1012
2008,0,16,1603.0,1,2,839,1012
2009,0,16,1603.0,0,2,825,958
2009,0,16,1603.0,1,2,723,958
2010,0,16,1603.0,0,2,840,1047
2010,0,16,1603.0,1,2,472,1047
2011,0,16,1603.0,0,2,664,1032
2011,0,16,1603.0,1,2,208,1032
2012,0,16,1603.0,0,2,530,1046
2012,0,16,1603.0,1,2,39,1046
2013,0,16,1603.0,0,2,451,1022
2013,0,16,1603.0,1,2,0,1022
2014,0,16,1603.0,0,2,271,1013
2015,0,16,1603.0,0,2,27,1007
2006,0,16,1610.0,0,2,260,704
2006,0,16,1610.0,1,2,137,704
2007,0,16,1610.0,0,2,631,715
2007,0,16,1610.0,1,2,517,715
2008,0,16,1610.0,0,2,738,735
2008,0,16,1610.0,1,2,533,735
2009,0,16,1610.0,0,2,679,704
2009,0,16,1610.0,1,2,433,704
2010,0,16,1610.0,0,2,668,710
2010,0,16,1610.0,1,2,379,710
2011,0,16,1610.0,0,2,587,715
2011,0,16,1610.0,1,2,308,715
2012,0,16,1610.0,0,2,553,789
2012,0,16,1610.0,1,2,110,789
2013,0,16,1610.0,0,2,508,769
2013,0,16,1610.0,1,2,26,769
2014,0,16,1610.0,0,2,436,753
2015,0,16,1610.0,0,2,99,775
2006,0,16,1609.0,0,2,1047,2818
2006,0,16,1609.0,1,2,744,2818
2007,0,16,1609.0,0,2,2388,2859
2007,0,16,1609.0,1,2,2230,2859
2008,0,16,1609.0,0,2,2812,3108
2008,0,16,1609.0,1,2,2501,3108
2009,0,16,1609.0,0,2,2628,2743
2009,0,16,1609.0,1,2,2039,2743
2010,0,16,1609.0,0,2,2140,2789
2010,0,16,1609.0,1,2,1210,2789
2011,0,16,1609.0,0,2,1811,2894
2011,0,16,1609.0,1,2,635,2894
2012,0,16,1609.0,0,2,1428,2972
2012,0,16,1609.0,1,2,217,2972
2013,0,16,1609.0,0,2,1163,2975
2013,0,16,1609.0,1,2,21,2975
2014,0,16,1609.0,0,2,1064,2744
2015,0,16,1609.0,0,2,190,2874
2006,0,16,1602.0,0,2,217,429
2006,0,16,1602.0,1,2,188,429
2007,0,16,1602.0,0,2,443,410
2007,0,16,1602.0,1,2,391,410
2008,0,16,1602.0,0,2,418,405
2008,0,16,1602.0,1,2,372,405
2009,0,16,1602.0,0,2,381,419
2009,0,16,1602.0,1,2,338,419
2010,0,16,1602.0,0,2,363,383
2010,0,16,1602.0,1,2,301,383
2011,0,16,1602.0,0,2,385,423
2011,0,16,1602.0,1,2,244,423
2012,0,16,1602.0,0,2,366,440
2012,0,16,1602.0,1,2,161,440
2013,0,16,1602.0,0,2,312,433
2013,0,16,1602.0,1,2,22,433
2014,0,16,1602.0,0,2,256,396
2015,0,16,1602.0,0,2,66,444
2006,0,16,1608.0,0,2,428,1232
2006,0,16,1608.0,1,2,274,1232
2007,0,16,1608.0,0,2,1113,1197
2007,0,16,1608.0,1,2,962,1197
2008,0,16,1608.0,0,2,1355,1398
2008,0,16,1608.0,1,2,1027,1398
2009,0,16,1608.0,0,2,1116,1318
2009,0,16,1608.0,1,2,719,1318
2010,0,16,1608.0,0,2,995,1357
2010,0,16,1608.0,1,2,372,1357
2011,0,16,1608.0,0,2,877,1318
2011,0,16,1608.0,1,2,161,1318
2012,0,16,1608.0,0,2,644,1371
2012,0,16,1608.0,1,2,36,1371
2013,0,16,1608.0,0,2,566,1359
2013,0,16,1608.0,1,2,7,1359
2014,0,16,1608.0,0,2,567,1208
2015,0,16,1608.0,0,2,90,1321
2006,0,16,1604.0,0,2,319,506
2006,0,16,1604.0,1,2,137,506
2007,0,16,1604.0,0,2,500,575
2007,0,16,1604.0,1,2,460,575
2008,0,16,1604.0,0,2,413,468
2008,0,16,1604.0,1,2,324,468
2009,0,16,1604.0,0,2,475,523
2009,0,16,1604.0,1,2,374,523
2010,0,16,1604.0,0,2,461,540
2010,0,16,1604.0,1,2,303,540
2011,0,16,1604.0,0,2,431,510
2011,0,16,1604.0,1,2,220,510
2012,0,16,1604.0,0,2,339,533
2012,0,16,1604.0,1,2,72,533
2013,0,16,1604.0,0,2,276,496
2013,0,16,1604.0,1,2,2,496
2014,0,16,1604.0,0,2,188,557
2015,0,16,1604.0,0,2,26,540
2006,0,16,1605.0,0,2,106,273
2006,0,16,1605.0,1,2,90,273
2007,0,16,1605.0,0,2,225,285
2007,0,16,1605.0,1,2,226,285
2008,0,16,1605.0,0,2,272,309
2008,0,16,1605.0,1,2,235,309
2009,0,16,1605.0,0,2,255,283
2009,0,16,1605.0,1,2,222,283
2010,0,16,1605.0,0,2,241,285
2010,0,16,1605.0,1,2,215,285
2011,0,16,1605.0,0,2,229,288
2011,0,16,1605.0,1,2,183,288
2012,0,16,1605.0,0,2,212,267
2012,0,16,1605.0,1,2,59,267
2013,0,16,1605.0,0,2,200,292
2013,0,16,1605.0,1,2,0,292
2014,0,16,1605.0,0,2,126,257
2015,0,16,1605.0,0,2,22,279
2006,0,16,1606.0,0,2,341,605
2006,0,16,1606.0,1,2,275,605
2007,0,16,1606.0,0,2,509,649
2007,0,16,1606.0,1,2,492,649
2008,0,16,1606.0,0,2,652,707
2008,0,16,1606.0,1,2,581,707
2009,0,16,1606.0,0,2,613,615
2009,0,16,1606.0,1,2,494,615
2010,0,16,1606.0,0,2,572,692
2010,0,16,1606.0,1,2,414,692
2011,0,16,1606.0,0,2,507,613
2011,0,16,1606.0,1,2,286,613
2012,0,16,1606.0,0,2,435,708
2012,0,16,1606.0,1,2,58,708
2013,0,16,1606.0,0,2,441,637
2013,0,16,1606.0,1,2,5,637
2014,0,16,1606.0,0,2,368,669
